KOD;NAZWA;DŁUGOŚĆ GEOGRAFICZNA;SZEROKOŚĆ GEOGRAFICZNA;NAZWA RZEKI
295;BIAŁYSTOK;23 09 44;53 06 26;BIAŁA
600;BIELSKO-BIAŁA;19 00 04;49 48 29;BIAŁA
240;BYDGOSZCZ;17 58;53 06;BRDA
235;CHOJNICE;17 31 57;53 42 55;JEZ.CHARZYKOWSKIE
550;CZĘSTOCHOWA;19 05 33;50 48 45;WARTA
160;ELBLĄG-MILEJEWO;19 32 37;54 13 23;BAUDA
140;GDAŃSK-PORT PÓŁNOCNY;18 41 52;54 23 59;BAŁTYK
150;GDAŃSK-RĘBIECHOWO;18 28;54 23;MARTWA WISŁA
155;GDAŃSK-ŚWIBNO;18 56 04;54 20 01;MARTWA WISŁA
300;GORZÓW WIELKOPOLSKI;15 16 38;52 44 28;WARTA
628;HALA GĄSIENICOWA;20 00 21;49 14 39;BIAŁY DUNAJEC
135;HEL;18 48 43;54 36 13;BAŁTYK
500;JELENIA GÓRA;15 47 20;50 54 01;BÓBR
435;KALISZ;18 04 55;51 46 55;PROSNA
650;KASPROWY WIERCH;19 58 55;49 13 57;DUNAJEC
560;KATOWICE-MUCHOWIEC;19 01 58;50 14 26;RAWA
185;KĘTRZYN;21 22 10;54 04 06;GUBER
570;KIELCE-SUKÓW;20 41 32;50 48 37;CZARNA NIDA
520;KŁODZKO;16 36 51;50 26 13;NYSA KŁODZKA
345;KOŁO;18 39 41;52 12 01;WARTA
100;KOŁOBRZEG-DŹWIRZYNO;15 23 20;54 09 30;PARSĘTA
105;KOSZALIN;16 09 20;54 12 16;BAŁTYK
488;KOZIENICE;21 32 34;51 33 53;WISŁA
566;KRAKÓW-BALICE;19 48 07;50 04 49;WISŁA
670;KROSNO;21 46 09;49 42 25;WISŁOK
415;LEGNICA;16 12 27;51 11 33;KACZAWA
690;LESKO;22 20 30;49 27 59;SAN
418;LESZNO;16 32 05;51 50 09;BARYCZ
125;LĘBORK;17 43 25;54 33 11;ŁEBA
495;LUBLIN-RADAWIEC;22 23 37;51 13 01;BYSTRZYCA
120;ŁEBA;17 32 05;54 45 13;ŁEBA
465;ŁÓDŹ-LUBLINEK;19 23 59;51 43 24;NER
280;MIKOŁAJKI;21 35 19;53 47 22;PISA
270;MŁAWA;20 21 40;53 06 15;WKRA
660;NOWY SĄCZ;20 41 21;49 37 38;DUNAJEC
272;OLSZTYN;20 25 22;53 46 16;ŁYNA
530;OPOLE;17 58 08;50 37 37;ODRA
285;OSTROŁĘKA;21 32 02;53 03 57;NAREW
230;PIŁA;16 44 54;53 07 52;GWDA
360;PŁOCK;19 43 33;52 35 18;WISŁA
330;POZNAŃ-ŁAWICA;16 50 09;52 25 02;WARTA
695;PRZEMYŚL;22 46 19;49 48 15;SAN
540;RACIBÓRZ;18 11 30;50 03 42;ODRA
210;RESKO-SMÓLSKO;15 24 53;53 46 18;REGA
580;RZESZÓW-JASIONKA;22 02 32;50 06 39;WISŁOK
585;SANDOMIERZ;21 42 57;50 41 48;WISŁA
385;SIEDLCE;22 14 41;52 10 52;LIWIEC
310;SŁUBICE;14 37 10;52 20 56;KANAŁ POSTOMSKI
469;SULEJÓW;19 51 52;51 21 10;PILICA
195;SUWAŁKI;22 56 56;54 07 51;CZARNA HAŃCZA
205;SZCZECIN;14 37 22;53 23 43;ODRA
215;SZCZECINEK;16 44 48;53 42 53;GWDA
510;ŚNIEŻKA;15 44 22;50 44 10;BÓBR
200;ŚWINOUJŚCIE;14 14 32;53 55 24;PRZYMORZE
575;TARNÓW;20 59 04;50 01 48;DUNAJEC
399;TERESPOL;23 37 17;52 04 42;BUG
250;TORUŃ;18 35 43;53 02 31;WISŁA
115;USTKA;16 51 15;54 35 18;SŁUPIA
375;WARSZAWA-OKĘCIE;20 57 40;52 09 46;WISŁA
455;WIELUŃ;18 33 28;51 12 40;WARTA
497;WŁODAWA;23 31 46;51 33 12;BUG
424;WROCŁAW-STRACHOWICE;16 54 00;51 06 12;ODRA
625;ZAKOPANE;19 57 37;49 17 38;DUNAJEC
595;ZAMOŚĆ;23 12 23;50 41 52;WIEPRZ
405;ZGORZELEC;15 02;51 08;NYSA ŁUŻYCKA
400;ZIELONA GÓRA;15 31 28;51 55 49;ODRA
131;ŻARNOWIEC;18 05;54 43;PRZYMORZE